subject,relation,object
Proposal 284,Proposal Deadline,2023-05-22 00:00:00
Proposal 284,Team,"The team described in this context is a global community of hackers, pizza enthusiasts"
Proposal 284,Voted By,3
Proposal 284,Opposed By,4
Proposal 283,Proposer,0x1db19b9903c5510aa5a866ea643eb021cd12bda0
Proposal 283,quorumVotes,124
Proposal 283,Status,ACTIVE
Proposal 283,Proposal,"Clothing, Every Day, Forever"
"Clothing, Every Day, Forever",Proposal Summary,"The proposal is to allocate 75,800 USDC to develop wears.wtf, a clothing brand that uses cc0 assets to create distinctive, ready-to-wear clothing. The team consists of leblancstudios and necfas, and the"
Proposal 283,Proposal Budget,"USD 75,800"
Proposal 283,Team,"The team is composed of two main groups: Leblancstudios,"
Proposal 283,Voted By,2
Proposal 283,Opposed By,11
Proposal 281,Proposer,0xdf6e59c6df1e9500fd35a76ff4c62f9901e90019
Proposal 281,quorumVotes,139
Proposal 281,Status,CANCELLED
Proposal 281,Proposal,Introducing Noun Computers
Introducing Noun Computers,Proposal Summary,"The proposal is to create an innovative and affordable single-board computer called noun-computer and a reinvented breadboard called noun-breadbook. These devices will be designed to be versatile, convenient, and intuitive to use for software and hardware development. The"
Proposal 281,Proposal Budget,"USD 200,000"
Proposal 281,Proposal Deadline,5 months
Proposal 281,Team,The team is proposing to grow a community of software and hardware developers around new
Proposal 281,Transfer To,0x4f2acdc74f6941390d9b1804fabc3e780388cfe5
Proposal 281,Transfer Value,608258215288947069891
Proposal 281,Voted By,1
Proposal 281,Opposed By,16
Proposal 280,Proposer,0xaec4075e4fc8ce829bc4f0cfd5e2fa10dd2b12d1
Proposal 280,quorumVotes,111
Proposal 280,Status,QUEUED
Proposal 280,executionETA,1683803711
Proposal 280,Proposal,Name (recently acquired) Noun 687 on NFTR
Name (recently acquired) Noun 687 on NFTR,Proposal Summary,"NFTR is a platform that allows users to name and identify their NFTs on Ethereum. They recently acquired a new noun, which they have decided to name ""Jello"" and assign it an NFTR domain. NFTR also offers features such"
Proposal 280,Team,"The team is associated with nftr, which is an NFT identity registry"
Proposal 280,Voted By,21
Proposal 280,Opposed By,10
Proposal 279,Proposer,0x0b3cf56e7df3bb3fb7201ffcd96d279b05ddd2e3
Proposal 279,quorumVotes,138
Proposal 279,Status,QUEUED
Proposal 279,executionETA,1683694991
Proposal 279,Proposal,"ethOS: A crypto-native, mobile OS"
"ethOS: A crypto-native, mobile OS",Proposal Summary,Ethos is an open-source mobile operating system that embraces Ethereum and aims to make web3 delightful on mobile. The team behind Ethos believes that Apple and Google are holding back web3 mobile development and that their platform offers a meaningful alternative. Ethos
Proposal 279,Proposal Budget,USD 40
Proposal 279,Team,The team behind Ethos is a group of nine developers and designers who are
Proposal 279,Transfer To,0x55a4e5123f8923500ff7aa97e75231a54a9c233a
Proposal 279,Transfer Value,40000000000000000000
Proposal 279,Voted By,30
Proposal 279,Opposed By,16
Proposal 278,Proposer,0xbc3ed6b537f2980e66f396fe14210a56ba3f72c4
Proposal 278,quorumVotes,138
Proposal 278,Status,QUEUED
Proposal 278,executionETA,1683662027
Proposal 278,Proposal,"Mint 5k ""Stand with Crypto"" NFTs and donate $100k to Gitcoin Crypto Advocacy Round"
"Mint 5k ""Stand with Crypto"" NFTs and donate $100k to Gitcoin Crypto Advocacy Round",Proposal Summary,"Coinbase has created a free ""Stand with Crypto"" NFT and Zora is donating their $1 fee to the Gitcoin Crypto Advocacy Round. Over 46k NFTs have been minted, with a leaderboard showing the top mint"
Proposal 278,Proposal Budget,USD 55
Proposal 278,Team,The team is proposing that the Nouns DAO attempt to claim the top spot
Proposal 278,Transfer To,0xde21f729137c5af1b01d73af1dc21effa2b8a0d6
Proposal 278,Transfer Value,55000000000000000000
Proposal 278,purchase To,0x9d90669665607f08005cae4a7098143f554c59ef
Proposal 278,purchase Value,3885000000000000000
Proposal 278,Voted By,28
Proposal 278,Opposed By,16
Proposal 277,Proposer,0x93d94557824ac07a30b5b0f44f7cb3e00f9c4191
Proposal 277,quorumVotes,138
Proposal 277,Status,EXECUTED
Proposal 277,Proposal,Open Source Nounish Hardware + Production
Open Source Nounish Hardware + Production,Proposal Summary,"The proposal suggests building 600 units of the Noggles LED keychain, an affordable yet unique and highly sought-after piece of hardware that fits in your pocket. The project will be divided into six stages over six months, and the total cost will be"
Proposal 277,Proposal Budget,75 ETH
Proposal 277,Proposal Deadline,6 months
Proposal 277,Team,The team behind this proposal is focused on creating open-source nounish hardware and
Proposal 277,Transfer To,0x716ede25d72f360d28b8139735532bc9f7ec7ee1
Proposal 277,Transfer Value,75000000000000000000
Proposal 277,Voted By,27
Proposal 277,Opposed By,13
Proposal 276,Proposer,0x4756e5a5d0668195feb1ec0e7f96832ffc51c4a8
Proposal 276,quorumVotes,138
Proposal 276,Status,ACTIVE
Proposal 276,Proposal,Nounish Playground - The Game
Nounish Playground - The Game,Proposal Summary,The proposal is for a mobile platformer game called Nounish Playground with 700 levels that introduces players to nounish concepts and educates them on nouns dao and adjacent extensions while playing through fun and engaging maps. The game is divided into single player
Proposal 276,Proposal Budget,"USD 90,000"
Proposal 276,Proposal Deadline,12 months
Proposal 276,Team,"The team is proposing to build a mobile platformer game called ""nounish"
Proposal 276,Voted By,14
Proposal 276,Opposed By,28
Proposal 275,Proposer,0x29c5dad7e34d0a27d6f65a0a7e07e4d03dcd68c8
Proposal 275,quorumVotes,69
Proposal 275,Status,CANCELLED
Proposal 275,Proposal,Treasury Diversification: Swap 400 wstETH -> rETH via TWAMM
Treasury Diversification: Swap 400 wstETH -> rETH via TWAMM,Proposal Summary,"The Nouns DAO is diversifying its treasury by swapping 400 WSTETH for RETH via a tool called TWAMM, which executes trades entirely on-chain with low fees and minimal gas costs. TWAMM is an on-chain AMM"
Proposal 275,Proposal Budget,400 ETH
Proposal 275,Team,The team is focused on executing treasury diversification of the Nouns DAO treasury
Proposal 275,Voted By,0
Proposal 275,Opposed By,0
Proposal 274,Proposer,0x91dccaa260cc4616e1a6e6b693db7207c5e42937
Proposal 274,quorumVotes,137
Proposal 274,Status,EXECUTED
Proposal 274,Proposal,Oni Residency: Nouns Community Discord & Onboarding
Oni Residency: Nouns Community Discord & Onboarding,Proposal Summary,The proposal requests funding for six months to transform the Jungle into a general Nouns DAO community Discord. The aim is to capture the same spirit and camaraderie that was present in the initial Nouns DAO Discord and make it the premiere place for on
Proposal 274,Proposal Budget,USD 9694
Proposal 274,Proposal Deadline,6 months
Proposal 274,Team,The team is proposing a 6-month funding commitment to transform the Jungle into
Proposal 274,Voted By,31
Proposal 274,Opposed By,17
Proposal 273,Proposer,0x9d3bede31f1c3b8532b98d8a9569e4b5b3fb6ba8
Proposal 273,quorumVotes,137
Proposal 273,Status,CANCELLED
Proposal 273,Proposal,WarpedWorld: Nouns Get Warped ⌐◨-◨
WarpedWorld: Nouns Get Warped ⌐◨-◨,Proposal Summary,The proposal is for the partnership of UnitedTribes and NounsDAO to create a new community empowered through NFT technology. The initial focus of the partnership is the web3 reimagining of the Warped Tour festival and community called Warped
Proposal 273,Proposal Budget,"USD 129,000"
Proposal 273,Proposal Deadline,6 months
Proposal 273,Team,The team described in this context is a collaboration between the original partners/found
Proposal 273,Voted By,3
Proposal 273,Opposed By,16
Proposal 272,Proposer,0x13eef4ef8fca471f242ab0f8f49a3db6017ada33
Proposal 272,quorumVotes,137
Proposal 272,Status,EXECUTED
Proposal 272,Proposal,Autobidder: Withdraw ETH and set ENS reverse record
Autobidder: Withdraw ETH and set ENS reverse record,Proposal Summary,"The text describes the successful use of the Federation Autobidder to acquire a noun. The proposal includes setting an ENS reverse record that resolves ""autobidder.nouns.eth"" to the contract address, and withdrawing the remaining balance back to"
Proposal 272,Proposal Budget,0 ETH
Proposal 272,Team,"Based on the given description, it seems that the team is working on a"
Proposal 272,Voted By,29
Proposal 272,Opposed By,17
Proposal 271,Proposer,0x83fcfe8ba2fece9578f0bbafed4ebf5e915045b9
Proposal 271,quorumVotes,137
Proposal 271,Status,QUEUED
Proposal 271,executionETA,1683401543
Proposal 271,Proposal,“The Nominal Hero”: A Nouns Middle Grade Novel
“The Nominal Hero”: A Nouns Middle Grade Novel,Proposal Summary,"The Nominal Hero is a middle-grade novel about Caden, an imaginative boy who uses a pair of glasses to call up nouns that bring chaos and adventure into his life. However, when a few careless words summon a threat to the nouniverse,"
Proposal 271,Proposal Budget,25 ETH
Proposal 271,Team,"The team is a group consisting of one person, Tasha K. R"
Proposal 271,deposit To,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
Proposal 271,deposit Value,25000000000000000000
Proposal 271,Voted By,49
Proposal 271,Opposed By,31
Proposal 270,Proposer,0xf2b7bfcdd6b596767e346269a8675472b45d098f
Proposal 270,quorumVotes,136
Proposal 270,Status,ACTIVE
Proposal 270,Proposal,Archives.wtf - Extension
Archives.wtf - Extension,Proposal Summary,Archives.wtf is seeking funding of 192.4k USDC to continue maintaining and developing the website as the main archive center of Nouns DAO over the next six months. The focus is on increasing the current media contents of Nouns ecosystem
Proposal 270,Proposal Budget,USD 192
Proposal 270,Proposal Deadline,6 months
Proposal 270,Team,The team is seeking funding of 192.4k USDC to maintain
Proposal 270,Previous Proposal,Proposal 176
Proposal 270,Voted By,5
Proposal 270,Opposed By,25
Proposal 269,Proposer,0x0658f4ed17289144717713adffc2539ef7c2ef8e
Proposal 269,quorumVotes,135
Proposal 269,Status,ACTIVE
Proposal 269,Proposal,Gnarly EP
Gnarly EP,Proposal Summary,"The ""gnarly ep"" is a release of three original songs by Lil Bubble, commissioned by Gnar's DAO for 3 ETH. The release is a CC0 and the cover art and music are ready for collecting as NFTs on"
Proposal 269,Proposal Budget,3 ETH
Proposal 269,Proposal Deadline,2023-05-15 00:00:00
Proposal 269,Team,"The team described in this context is the group behind the release of the """
Proposal 269,Voted By,25
Proposal 269,Opposed By,9
Proposal 268,Proposer,0x13eef4ef8fca471f242ab0f8f49a3db6017ada33
Proposal 268,quorumVotes,101
Proposal 268,Status,EXECUTED
Proposal 268,Proposal,Nouns Autobidder Trial (by Federation)
Nouns Autobidder Trial (by Federation),Proposal Summary,"This proposal suggests using a federation autobidder to purchase nouns at auction for future proposals. The autobidder will be funded with 31 eth, allowing the community to try it out and acquire one noun for the treasury. The autobidder is"
Proposal 268,Proposal Budget,31 ETH
Proposal 268,Team,The team is proposing to deploy a federation autobidder to purchase nouns at
Proposal 268,clone To,0x5a2da0f09d65a0034f4398bda40df4f8a79a3293
Proposal 268,clone Value,31000000000000000000
Proposal 268,Voted By,21
Proposal 268,Opposed By,18
Proposal 266,Proposer,0x144975eec9674fd0af3d6f3fba8d660879ce3881
Proposal 266,quorumVotes,100
Proposal 266,Status,ACTIVE
Proposal 266,Proposal,The Nouns Mechanical Keyboard
The Nouns Mechanical Keyboard,Proposal Summary,The proposal is for the creation of a mechanical keyboard in collaboration with a top-tier keyboard designer that will be designed with the Nouns brand. The aim is to launch a Nouns sub-DAO for the mechanical keyboard subculture. The subculture has
Proposal 266,Proposal Budget,118 ETH
Proposal 266,Proposal Deadline,8 months
Proposal 266,Team,"The team is composed of two individuals, Profish and Nextmech,"
Proposal 266,Transfer To,0x05b866ba6629958f8eac95b829e08778b06086b0
Proposal 266,Transfer Value,118690000000000000000
Proposal 266,Voted By,9
Proposal 266,Opposed By,25
Proposal 265,Proposer,0x43e3ab994070db606042e8deffd146300cb52919
Proposal 265,quorumVotes,100
Proposal 265,Status,CANCELLED
Proposal 265,Proposal,Noun Wet Wipes
Noun Wet Wipes,Proposal Summary,"The proposal is to create branded wet wipes under the name ""noun"" that can be sold at various retail outlets as a way to increase brand awareness. The wet wipes defend against bacteria and viruses, moisturize dry skin, and also serve as an inexpensive"
Proposal 265,Proposal Budget,"USD 19,050"
Proposal 265,Team,"The team is composed of two individuals, Noun 587 and Noun"
Proposal 265,Voted By,7
Proposal 265,Opposed By,22
Proposal 264,Proposer,0xe7304ba0f157f2ade94015934284b6704bc72911
Proposal 264,quorumVotes,99
Proposal 264,Status,CANCELLED
Proposal 264,Proposal,Launching Nouns Vacation Summer Brand 2023
Launching Nouns Vacation Summer Brand 2023,Proposal Summary,"A team plans to propose launching a vacation-themed nouns-wear and lifestyle goods brand for 2023 spring/summer. The experienced team is capable of end-to-end operation, including design, production, marketing, and event-hosting. The brand's"
Proposal 264,Proposal Deadline,2023-06-10 00:00:00
Proposal 264,Team,The team is planning to launch a vacation-themed nouns-wear and lifestyle goods
Proposal 264,Transfer To,0x4f2acdc74f6941390d9b1804fabc3e780388cfe5
Proposal 264,Transfer Value,116981973220464180200
Proposal 264,Voted By,0
Proposal 264,Opposed By,10
Proposal 263,Proposer,0xdead753f9b1eb8f2f7372e8587e7c6e342daac89
Proposal 263,quorumVotes,99
Proposal 263,Status,EXECUTED
Proposal 263,Proposal,Nouns Esports - CS:GO and Dota2 Rosters 2023
Nouns Esports - CS:GO and Dota2 Rosters 2023,Proposal Summary,Nouns Esports is proposing ongoing financial support for their top-tier professional esports teams in CS:GO and Dota 2 during the 2023 season. Their goal is to become a globally recognized legacy brand in esports and to empower aspiring esports athletes with
Proposal 263,Proposal Budget,"USD 795,000"
Proposal 263,Proposal Deadline,10 months
Proposal 263,Team,"The team being described is the esports team of Nouns, which consists of"
Proposal 263,Transfer To,0x4f2acdc74f6941390d9b1804fabc3e780388cfe5
Proposal 263,Transfer Value,577352262137734777573
Proposal 263,Voted By,41
Proposal 263,Opposed By,15
Proposal 262,Proposer,0xaa4fbd73051b151397bb369c7e2a6052a894d924
Proposal 262,quorumVotes,99
Proposal 262,Status,EXECUTED
Proposal 262,Proposal,Showcase Nouns 3D-Printed Collection on Times Square Billboards
Showcase Nouns 3D-Printed Collection on Times Square Billboards,Proposal Summary,"The proposal suggests showcasing a video of the Nouns 3D-printed collection on Times Square billboards during NFT NYC week for $16,000. The video will be played 560 times, resulting in 2 hours of airtime,"
Proposal 262,Proposal Budget,"USD 16,000"
Proposal 262,Team,The team is proposing to showcase their 3D-printed collection on Times
Proposal 262,Voted By,27
Proposal 262,Opposed By,23
Proposal 261,Proposer,0x4754b7e3dede42d71d6c92978f25f306176ec7e9
Proposal 261,quorumVotes,99
Proposal 261,Status,EXECUTED
Proposal 261,Proposal,Dynamic Quorum Updates
Dynamic Quorum Updates,Proposal Summary,The proposal suggests updating the dynamic quorum parameters by increasing the maximum quorum percentage from 15% to 20%. The minimum quorum percentage and coefficient will remain the same. The rationale behind this change is to ensure that contentious proposals require a higher
Proposal 261,Proposal Budget,15 ETH
Proposal 261,Team,The team is proposing to increase the maximum quorum from 15% to
The team is proposing to increase the maximum quorum from 15% to,Team Size,15
Proposal 261,Voted By,26
Proposal 261,Opposed By,29
Proposal 260,Proposer,0x387a161c6b25aa854100abaed39274e51aaffffd
Proposal 260,quorumVotes,99
Proposal 260,Status,ACTIVE
Proposal 260,Proposal,Forgeries - ALL are FAKE except ONE
Forgeries - ALL are FAKE except ONE,Proposal Summary,"Omega, a new public goods hyperstructure on Ethereum, has released its debut project called ""forgeries - all are fake except one."" It is an open edition of exact forgeries inspired by MSCHF's drop, Museum of Forgeries, that"
Proposal 260,Team,"The team is introducing a new release called ""forgeries"" which is a"
Proposal 260,Voted By,21
Proposal 260,Opposed By,23
Proposal 259,Proposer,0x281ec184e704ce57570614c33b3477ec7ff07243
Proposal 259,quorumVotes,94
Proposal 259,Status,EXECUTED
Proposal 259,Proposal,Nouns Short Shorts - Bonus Pack
Nouns Short Shorts - Bonus Pack,Proposal Summary,"The Nouns Short Shorts project is asking for $65,000 USDC to fund 7 more short animations and host an IRL festival event in LA to showcase their talented animators. The project was originally funded through Prop 180 and has since"
Proposal 259,Proposal Budget,"USD 65,000"
Proposal 259,Team,The team is a group of organizers who are planning to fund and host an
Proposal 259,Voted By,41
Proposal 259,Opposed By,4
Proposal 258,Proposer,0xa903c06bf35286f6d1cdad25396748353979a44c
Proposal 258,quorumVotes,97
Proposal 258,Status,ACTIVE
Proposal 258,Proposal,Nouns x W3BSTOCK in NOUN YORK CITY!!!!
Nouns x W3BSTOCK in NOUN YORK CITY!!!!,Proposal Summary,"Nouns DAO is requesting 10 ETH to become a title partner of W3bstock NYC, a live entertainment consortium that empowers artists and revolutionizes the music industry using blockchain technology. The partnership will involve noun-focused activations, merchandise, and branding"
Proposal 258,Proposal Budget,10 ETH
Proposal 258,Proposal Deadline,2023-12-01 00:00:00
Proposal 258,Team,"The team described in this context is the w3bstock team, a"
Proposal 258,Transfer To,0xf9d71b5fb8345f2508c1302a74d4362deab7d104
Proposal 258,Transfer Value,10000000000000000000
Proposal 258,Voted By,2
Proposal 258,Opposed By,31
Proposal 257,Proposer,0x0c66d954d9cb1ebdf4e37a000262323c83655e70
Proposal 257,quorumVotes,77
Proposal 257,Status,EXECUTED
Proposal 257,Proposal,Nouns Fair @ ETH Global hackathons
Nouns Fair @ ETH Global hackathons,Proposal Summary,"The Nouns Fair is an in-person event that aims to spread awareness about nouns and encourage builders to create with them. It takes place at EthGlobal hackathons and features photo opportunities, games, swag, and hosts who answer questions about nouns"
Proposal 257,Proposal Budget,"USD 226,425"
Proposal 257,Proposal Deadline,2023-11-10 00:00:00
Proposal 257,Team,"The team is responsible for organizing and hosting the Nouns Fair, an in"
Proposal 257,Transfer To,0x4f2acdc74f6941390d9b1804fabc3e780388cfe5
Proposal 257,Transfer Value,149737587073361358375
Proposal 257,Voted By,41
Proposal 257,Opposed By,2
Proposal 256,Proposer,0x0055cd5f017027d10adf4f13332181e6d8d886bb
Proposal 256,quorumVotes,97
Proposal 256,Status,EXECUTED
Proposal 256,Proposal,The First Triple Back Flip in a Wheelchair
The First Triple Back Flip in a Wheelchair,Proposal Summary,"The proposal is to create a 5-7 minute documentary about Aaron ""Wheelz"" Fotheringham's journey to execute the first triple back flip in a wheelchair. The documentary will be produced by a team and will follow Wheelz as he performs"
Proposal 256,Proposal Budget,"USD 155,925"
Proposal 256,Proposal Deadline,6 months
Proposal 256,Team,The team described in this proposal aims to create a 5-7 minute
Proposal 256,Transfer To,0x4f2acdc74f6941390d9b1804fabc3e780388cfe5
Proposal 256,Transfer Value,93522093965617197604
Proposal 256,Voted By,44
Proposal 256,Opposed By,24
Proposal 255,Proposer,0xdcb4117e3a00632efcac3c169e0b23959f555e5e
Proposal 255,quorumVotes,96
Proposal 255,Status,ACTIVE
Proposal 255,Proposal,Nouns Wallet Service
Nouns Wallet Service,Proposal Summary,"The proposal introduces a new service called ""Nouns Wallet Service,"" which allows users to add any NFT (or ERC-20) into their Apple/Android wallet, enabling web3 communities to send push notifications to token holders and a variety of other"
Proposal 255,Proposal Budget,120 ETH
Proposal 255,Team,"The team is proposing a new service called ""Nouns Wallet Service"" that"
Proposal 255,Transfer To,0x442e218bb1fdc5450be14e200d225b39ce644e4a
Proposal 255,Transfer Value,120000000000000000000
Proposal 255,Voted By,12
Proposal 255,Opposed By,24
Proposal 254,Proposer,0x008c84421da5527f462886cec43d2717b686a7e4
Proposal 254,quorumVotes,64
Proposal 254,Status,EXECUTED
Proposal 254,Proposal,Nouns Deli Melbourne: Piloting a Nounish Franchise Model
Nouns Deli Melbourne: Piloting a Nounish Franchise Model,Proposal Summary,"The proposal is for a funding of $202k to rebrand and open the first permanent Nouns IRL food service store in Melbourne, Australia. The plan is to convert an existing profitable deli owned by 87bones into a Nounish"
Proposal 254,Proposal Budget,USD 202
Proposal 254,Proposal Deadline,2 months
Proposal 254,Team,The team is proposing a funding of $202k for the first permanent N
Proposal 254,Transfer To,0x4f2acdc74f6941390d9b1804fabc3e780388cfe5
Proposal 254,Transfer Value,144325584486069333864
Proposal 254,Voted By,40
Proposal 254,Opposed By,1
Proposal 253,Proposer,0x93d94557824ac07a30b5b0f44f7cb3e00f9c4191
Proposal 253,quorumVotes,96
Proposal 253,Status,EXECUTED
Proposal 253,Proposal,Nouns Hack Week
Nouns Hack Week,Proposal Summary,"Nouns Hack Week is a one-week event for the Nouns community to come together, explore new ideas, celebrate each other, and bring in new contributors. The event will be decentralized as much as possible, with the goal of incentivizing all N"
Proposal 253,Proposal Budget,99 ETH
Proposal 253,Team,The team is a loose group of people who came up with the idea for
Proposal 253,Transfer To,0x0d51044ff95c4e3bf77e2e08a8ba398646bdb609
Proposal 253,Transfer Value,99000000000000000000
Proposal 253,Voted By,26
Proposal 253,Opposed By,11
Proposal 252,Proposer,0x53469f448c3ea07671da492ede02f90790978c9d
Proposal 252,quorumVotes,96
Proposal 252,Status,CANCELLED
Proposal 252,Proposal,Nouns Fine Jewellery by: State Property – supported by HeyMint
Nouns Fine Jewellery by: State Property – supported by HeyMint,Proposal Summary,"State Property and Nouns are collaborating to create an exclusive collection of fine jewellery called NFJ. The collection will be sold via a daily auction, with 100% of the proceeds going back to the Nouns treasury. The project comprises nine bespoke,"
Proposal 252,Proposal Budget,"USD 188,150"
Proposal 252,Proposal Deadline,2023-10-03 00:00:00
Proposal 252,Team,The team behind the project is a strategic collaboration between three brands: Nouns
Proposal 252,Transfer To,0x4f2acdc74f6941390d9b1804fabc3e780388cfe5
Proposal 252,Transfer Value,131872828657127807835
Proposal 252,Transfer To,0x3a5fb987b475985dc41c455840ea0a1f1717e4c4
Proposal 252,Transfer Value,690000000000000000
Proposal 252,Voted By,1
Proposal 252,Opposed By,11
Proposal 251,Proposer,0xaa4fbd73051b151397bb369c7e2a6052a894d924
Proposal 251,quorumVotes,96
Proposal 251,Status,EXECUTED
Proposal 251,Proposal,Showcase Nouns 3D-Printed Fashion Collection at NFT.NYC
Showcase Nouns 3D-Printed Fashion Collection at NFT.NYC,Proposal Summary,"The proposal is about showcasing a 3D-printed fashion collection called Nouns at NFT.nyc. The collection consists of five looks and has been successful in previous exhibitions, including NFT Paris. The proposal includes details of the expected attendance,"
Proposal 251,Proposal Budget,"USD 51,720"
Proposal 251,Team,The team is a fashion designer who has created a 3D-printed
Proposal 251,Transfer To,0x4f2acdc74f6941390d9b1804fabc3e780388cfe5
Proposal 251,Transfer Value,7559586775211461240
Proposal 251,Voted By,30
Proposal 251,Opposed By,4
Proposal 250,Proposer,0x141b63d93daf55bfb7f396eee6114f3a5d4a90b2
Proposal 250,quorumVotes,67
Proposal 250,Status,EXECUTED
Proposal 250,Proposal,Noun Nyms
Noun Nyms,Proposal Summary,Personae Labs is proposing the development of a hacker news/reddit-style website for nouners that will feature persistent pseudonyms and threaded pseudonymous discussions. The aim of this project is to explore the future of pseudonymity in Ethereum and enable healthy discussions
Proposal 250,Proposal Budget,USD 160
Proposal 250,Team,"The team described in this context is Personae Labs, who are exploring the"
Proposal 250,Transfer To,0x4f2acdc74f6941390d9b1804fabc3e780388cfe5
Proposal 250,Transfer Value,101655966561571318833
Proposal 250,Voted By,41
Proposal 250,Opposed By,4
Proposal 249,Proposer,0xae65e700f3f8904ac1007d47a5309dd26f8146c0
Proposal 249,quorumVotes,64
Proposal 249,Status,EXECUTED
Proposal 249,Proposal,Nouns block graffiti x ETH solo staking
Nouns block graffiti x ETH solo staking,Proposal Summary,"A group proposes creating a monthly prize pool of 10 ETH for the next three months to incentivize solo staking on Ethereum. To participate, stakers need to add ""⌐-"" to the graffiti flag of their consensus client. The prize"
Proposal 249,Proposal Budget,10 ETH
Proposal 249,Team,The team is proposing to create a monthly prize pool for the next three months
Proposal 249,Transfer To,0x3200a7c6467f66734b1de7ac2daa4365cfdbccf8
Proposal 249,Transfer Value,30000000000000000000
Proposal 249,Voted By,44
Proposal 249,Opposed By,2
Proposal 248,Proposer,0x046c54a8c88397c9b222b979f7b6efe9077f4bde
Proposal 248,quorumVotes,95
Proposal 248,Status,ACTIVE
Proposal 248,Proposal,Rage Quit (2)
